AirQualityStationEoICode,Concentration,DatetimeBegin
GB0682A,36.64,2013-04-24 00:00:00 +01:00
GB0682A,37.01,2013-04-25 00:00:00 +01:00
GB0682A,14.29,2013-04-26 00:00:00 +01:00
GB0682A,13.49,2013-04-27 00:00:00 +01:00
GB0682A,23.0,2013-04-28 00:00:00 +01:00
GB0682A,23.71,2013-04-29 00:00:00 +01:00
GB0682A,24.67,2013-04-30 00:00:00 +01:00
GB0682A,25.17,2013-05-01 00:00:00 +01:00
GB0682A,23.49,2013-05-02 00:00:00 +01:00
GB0682A,36.42,2013-05-03 00:00:00 +01:00
GB0682A,23.46,2013-05-04 00:00:00 +01:00
GB0682A,25.79,2013-05-05 00:00:00 +01:00
GB0682A,24.04,2013-05-06 00:00:00 +01:00
GB0682A,38.29,2013-05-07 00:00:00 +01:00
GB0682A,38.5,2013-05-08 00:00:00 +01:00
GB0682A,33.75,2013-05-09 00:00:00 +01:00
GB0682A,31.78,2013-05-10 00:00:00 +01:00
GB0682A,24.5,2013-05-11 00:00:00 +01:00
GB0682A,21.13,2013-05-12 00:00:00 +01:00
GB0682A,25.85,2013-05-13 00:00:00 +01:00
GB0682A,28.13,2013-05-14 00:00:00 +01:00
GB0682A,23.86,2013-05-15 00:00:00 +01:00
GB0682A,33.38,2013-05-16 00:00:00 +01:00
GB0682A,17.88,2013-05-17 00:00:00 +01:00
GB0682A,17.59,2013-05-18 00:00:00 +01:00
GB0682A,27.88,2013-05-19 00:00:00 +01:00
GB0682A,26.83,2013-05-20 00:00:00 +01:00
GB0682A,19.33,2013-05-21 00:00:00 +01:00
GB0682A,19.63,2013-05-22 00:00:00 +01:00
GB0682A,13.79,2013-05-23 00:00:00 +01:00
GB0682A,13.63,2013-05-24 00:00:00 +01:00
GB0682A,17.88,2013-05-25 00:00:00 +01:00
GB0682A,19.0,2013-05-26 00:00:00 +01:00
GB0682A,24.83,2013-05-27 00:00:00 +01:00
GB0682A,29.96,2013-05-28 00:00:00 +01:00
GB0682A,19.79,2013-05-29 00:00:00 +01:00
GB0682A,9.17,2013-05-30 00:00:00 +01:00
GB0682A,18.75,2013-05-31 00:00:00 +01:00
GB0682A,12.96,2013-06-01 00:00:00 +01:00
GB0682A,14.33,2013-06-02 00:00:00 +01:00
GB0682A,19.58,2013-06-03 00:00:00 +01:00
GB0682A,12.46,2013-06-04 00:00:00 +01:00
GB0682A,20.0,2013-06-05 00:00:00 +01:00
GB0682A,16.54,2013-06-06 00:00:00 +01:00
GB0682A,16.0,2013-06-07 00:00:00 +01:00
GB0682A,9.0,2013-06-08 00:00:00 +01:00
GB0682A,7.38,2013-06-09 00:00:00 +01:00
GB0682A,17.54,2013-06-10 00:00:00 +01:00
GB0682A,28.8,2013-06-11 00:00:00 +01:00
