AirQualityStationEoICode,Concentration,DatetimeBegin
HR0006A,61.863,2013-01-01 00:00:00 +01:00
HR0006A,67.268,2013-01-02 00:00:00 +01:00
HR0006A,90.953,2013-01-03 00:00:00 +01:00
HR0006A,26.363,2013-01-04 00:00:00 +01:00
HR0006A,28.148,2013-01-05 00:00:00 +01:00
HR0006A,28.227,2013-01-06 00:00:00 +01:00
HR0006A,39.082,2013-01-07 00:00:00 +01:00
HR0006A,48.207,2013-01-08 00:00:00 +01:00
HR0006A,59.404,2013-01-09 00:00:00 +01:00
HR0006A,33.015,2013-01-10 00:00:00 +01:00
HR0006A,37.327,2013-01-11 00:00:00 +01:00
HR0006A,43.879,2013-01-12 00:00:00 +01:00
HR0006A,43.75,2013-01-13 00:00:00 +01:00
HR0006A,44.123,2013-01-14 00:00:00 +01:00
HR0006A,29.692,2013-01-15 00:00:00 +01:00
HR0006A,29.75,2013-01-16 00:00:00 +01:00
HR0006A,36.789,2013-01-17 00:00:00 +01:00
HR0006A,54.573,2013-01-18 00:00:00 +01:00
HR0006A,127.784,2013-01-19 00:00:00 +01:00
HR0006A,57.956,2013-01-20 00:00:00 +01:00
HR0006A,68.46,2013-01-21 00:00:00 +01:00
HR0006A,89.335,2013-01-22 00:00:00 +01:00
HR0006A,39.266,2013-01-23 00:00:00 +01:00
HR0006A,56.622,2013-01-24 00:00:00 +01:00
HR0006A,51.556,2013-01-25 00:00:00 +01:00
HR0006A,82.04,2013-01-26 00:00:00 +01:00
HR0006A,84.24,2013-01-27 00:00:00 +01:00
HR0006A,67.347,2013-01-28 00:00:00 +01:00
HR0006A,78.561,2013-01-29 00:00:00 +01:00
HR0006A,51.865,2013-01-30 00:00:00 +01:00
HR0006A,73.098,2013-01-31 00:00:00 +01:00
HR0006A,63.583,2013-02-01 00:00:00 +01:00
HR0006A,66.623,2013-02-02 00:00:00 +01:00
HR0006A,92.162,2013-02-03 00:00:00 +01:00
HR0006A,26.664,2013-02-04 00:00:00 +01:00
HR0006A,28.672,2013-02-06 00:00:00 +01:00
HR0006A,39.496,2013-02-07 00:00:00 +01:00
HR0006A,47.523,2013-02-08 00:00:00 +01:00
HR0006A,57.468,2013-02-09 00:00:00 +01:00
HR0006A,33.324,2013-02-10 00:00:00 +01:00
HR0006A,37.382,2013-02-11 00:00:00 +01:00
HR0006A,43.758,2013-02-12 00:00:00 +01:00
HR0006A,43.669,2013-02-13 00:00:00 +01:00
HR0006A,43.732,2013-02-14 00:00:00 +01:00
HR0006A,29.281,2013-02-15 00:00:00 +01:00
HR0006A,29.552,2013-02-16 00:00:00 +01:00
HR0006A,36.619,2013-02-17 00:00:00 +01:00
HR0006A,53.982,2013-02-18 00:00:00 +01:00
HR0006A,123.25,2013-02-19 00:00:00 +01:00
HR0006A,56.409,2013-02-20 00:00:00 +01:00
HR0006A,67.687,2013-02-21 00:00:00 +01:00
HR0006A,89.068,2013-02-22 00:00:00 +01:00
HR0006A,39.346,2013-02-23 00:00:00 +01:00
HR0006A,58.038,2013-02-24 00:00:00 +01:00
HR0006A,52.676,2013-02-25 00:00:00 +01:00
HR0006A,82.617,2013-02-26 00:00:00 +01:00
HR0006A,85.048,2013-02-27 00:00:00 +01:00
HR0006A,53.736,2013-02-28 00:00:00 +01:00
HR0006A,62.797,2013-03-01 00:00:00 +01:00
HR0006A,74.922,2013-03-02 00:00:00 +01:00
HR0006A,79.506,2013-03-03 00:00:00 +01:00
HR0006A,106.639,2013-03-04 00:00:00 +01:00
HR0006A,84.775,2013-03-05 00:00:00 +01:00
HR0006A,29.539,2013-03-06 00:00:00 +01:00
HR0006A,32.135,2013-03-07 00:00:00 +01:00
HR0006A,34.782,2013-03-09 00:00:00 +01:00
HR0006A,36.422,2013-03-10 00:00:00 +01:00
HR0006A,19.187,2013-03-11 00:00:00 +01:00
