AirQualityStationEoICode,Concentration,DatetimeBegin
HU0023A,16.0,2013-03-09 00:00:00 +01:00
HU0023A,19.0,2013-03-10 00:00:00 +01:00
HU0023A,14.0,2013-03-11 00:00:00 +01:00
HU0023A,28.0,2013-03-12 00:00:00 +01:00
HU0023A,22.0,2013-03-13 00:00:00 +01:00
HU0023A,26.0,2013-03-14 00:00:00 +01:00
HU0023A,19.0,2013-03-15 00:00:00 +01:00
HU0023A,27.0,2013-03-16 00:00:00 +01:00
HU0023A,36.0,2013-03-17 00:00:00 +01:00
HU0023A,25.0,2013-03-18 00:00:00 +01:00
HU0023A,15.0,2013-03-19 00:00:00 +01:00
HU0023A,25.0,2013-03-20 00:00:00 +01:00
HU0023A,22.0,2013-03-21 00:00:00 +01:00
HU0023A,19.0,2013-03-22 00:00:00 +01:00
HU0023A,23.0,2013-03-23 00:00:00 +01:00
HU0023A,21.0,2013-03-24 00:00:00 +01:00
HU0023A,19.0,2013-03-25 00:00:00 +01:00
HU0023A,16.0,2013-03-26 00:00:00 +01:00
HU0023A,24.0,2013-03-27 00:00:00 +01:00
HU0023A,31.0,2013-03-28 00:00:00 +01:00
HU0023A,21.0,2013-03-29 00:00:00 +01:00
HU0023A,19.0,2013-03-30 00:00:00 +01:00
HU0023A,34.0,2013-03-31 00:00:00 +01:00
HU0023A,22.0,2013-04-01 00:00:00 +01:00
HU0023A,27.0,2013-04-02 00:00:00 +01:00
HU0023A,22.0,2013-04-03 00:00:00 +01:00
HU0023A,16.0,2013-04-04 00:00:00 +01:00
HU0023A,18.0,2013-04-05 00:00:00 +01:00
HU0023A,22.0,2013-04-06 00:00:00 +01:00
HU0023A,20.0,2013-04-07 00:00:00 +01:00
HU0023A,19.0,2013-04-08 00:00:00 +01:00
HU0023A,25.0,2013-04-09 00:00:00 +01:00
HU0023A,24.0,2013-04-10 00:00:00 +01:00
HU0023A,19.0,2013-04-11 00:00:00 +01:00
HU0023A,15.0,2013-04-12 00:00:00 +01:00
HU0023A,8.0,2013-04-13 00:00:00 +01:00
HU0023A,12.0,2013-04-14 00:00:00 +01:00
HU0023A,14.0,2013-04-15 00:00:00 +01:00
HU0023A,21.0,2013-04-16 00:00:00 +01:00
HU0023A,37.0,2013-04-17 00:00:00 +01:00
HU0023A,46.0,2013-04-18 00:00:00 +01:00
