AirQualityStationEoICode,Concentration,DatetimeBegin
HR0007A,22.99,2013-05-06 00:00:00 +01:00
HR0007A,31.783,2013-05-07 00:00:00 +01:00
HR0007A,29.41,2013-05-08 00:00:00 +01:00
HR0007A,20.812,2013-05-09 00:00:00 +01:00
HR0007A,11.986,2013-05-11 00:00:00 +01:00
HR0007A,15.156,2013-05-12 00:00:00 +01:00
HR0007A,19.869,2013-05-13 00:00:00 +01:00
HR0007A,20.893,2013-05-14 00:00:00 +01:00
HR0007A,20.471,2013-05-15 00:00:00 +01:00
HR0007A,15.887,2013-05-16 00:00:00 +01:00
HR0007A,15.611,2013-05-17 00:00:00 +01:00
HR0007A,13.888,2013-05-18 00:00:00 +01:00
HR0007A,10.247,2013-05-19 00:00:00 +01:00
HR0007A,14.896,2013-05-21 00:00:00 +01:00
HR0007A,16.716,2013-05-22 00:00:00 +01:00
HR0007A,17.366,2013-05-23 00:00:00 +01:00
HR0007A,8.719,2013-05-24 00:00:00 +01:00
HR0007A,11.125,2013-05-25 00:00:00 +01:00
HR0007A,14.067,2013-05-26 00:00:00 +01:00
HR0007A,14.294,2013-05-27 00:00:00 +01:00
HR0007A,11.06,2013-05-28 00:00:00 +01:00
HR0007A,9.906,2013-05-29 00:00:00 +01:00
HR0007A,8.199,2013-05-30 00:00:00 +01:00
HR0007A,11.651,2013-05-31 00:00:00 +01:00
HR0007A,6.147,2013-06-01 00:00:00 +01:00
HR0007A,15.815,2013-06-03 00:00:00 +01:00
HR0007A,21.151,2013-06-04 00:00:00 +01:00
HR0007A,22.365,2013-06-05 00:00:00 +01:00
HR0007A,25.022,2013-06-06 00:00:00 +01:00
HR0007A,23.787,2013-06-07 00:00:00 +01:00
HR0007A,12.634,2013-06-08 00:00:00 +01:00
HR0007A,15.606,2013-06-09 00:00:00 +01:00
HR0007A,15.752,2013-06-10 00:00:00 +01:00
HR0007A,16.547,2013-06-11 00:00:00 +01:00
HR0007A,22.051,2013-06-12 00:00:00 +01:00
HR0007A,21.632,2013-06-13 00:00:00 +01:00
HR0007A,26.382,2013-06-14 00:00:00 +01:00
HR0007A,30.818,2013-06-15 00:00:00 +01:00
HR0007A,50.697,2013-06-16 00:00:00 +01:00
HR0007A,57.707,2013-06-17 00:00:00 +01:00
HR0007A,62.771,2013-06-18 00:00:00 +01:00
HR0007A,22.323,2013-06-19 00:00:00 +01:00
HR0007A,25.148,2013-06-20 00:00:00 +01:00
HR0007A,19.874,2013-06-21 00:00:00 +01:00
HR0007A,17.175,2013-06-22 00:00:00 +01:00
HR0007A,9.014,2013-06-24 00:00:00 +01:00
HR0007A,8.282,2013-06-25 00:00:00 +01:00
HR0007A,14.266,2013-06-26 00:00:00 +01:00
HR0007A,17.928,2013-06-27 00:00:00 +01:00
HR0007A,17.782,2013-06-28 00:00:00 +01:00
HR0007A,10.019,2013-06-29 00:00:00 +01:00
HR0007A,17.049,2013-06-30 00:00:00 +01:00
HR0007A,27.868,2013-07-01 00:00:00 +01:00
HR0007A,32.451,2013-07-02 00:00:00 +01:00
HR0007A,15.229,2013-07-04 00:00:00 +01:00
HR0007A,17.74,2013-07-05 00:00:00 +01:00
HR0007A,17.991,2013-07-06 00:00:00 +01:00
HR0007A,26.529,2013-07-07 00:00:00 +01:00
HR0007A,28.056,2013-07-08 00:00:00 +01:00
HR0007A,31.258,2013-07-09 00:00:00 +01:00
HR0007A,18.096,2013-07-10 00:00:00 +01:00
HR0007A,20.335,2013-07-11 00:00:00 +01:00
HR0007A,13.597,2013-07-12 00:00:00 +01:00
HR0007A,23.432,2013-07-13 00:00:00 +01:00
HR0007A,18.451,2013-07-14 00:00:00 +01:00
HR0007A,19.288,2013-07-15 00:00:00 +01:00
HR0007A,24.394,2013-07-16 00:00:00 +01:00
HR0007A,29.709,2013-07-17 00:00:00 +01:00
HR0007A,36.259,2013-07-18 00:00:00 +01:00
HR0007A,19.184,2013-07-19 00:00:00 +01:00
HR0007A,19.791,2013-07-20 00:00:00 +01:00
HR0007A,27.638,2013-07-25 00:00:00 +01:00
HR0007A,28.245,2013-07-26 00:00:00 +01:00
HR0007A,28.412,2013-07-27 00:00:00 +01:00
HR0007A,19.937,2013-07-28 00:00:00 +01:00
HR0007A,16.861,2013-07-29 00:00:00 +01:00
HR0007A,14.58,2013-07-30 00:00:00 +01:00
HR0007A,20.398,2013-07-31 00:00:00 +01:00
HR0007A,35.568,2013-08-02 00:00:00 +01:00
HR0007A,21.946,2013-08-03 00:00:00 +01:00
HR0007A,31.781,2013-08-04 00:00:00 +01:00
HR0007A,37.033,2013-08-05 00:00:00 +01:00
HR0007A,47.161,2013-08-06 00:00:00 +01:00
HR0007A,38.289,2013-08-07 00:00:00 +01:00
HR0007A,21.82,2013-08-08 00:00:00 +01:00
HR0007A,28.433,2013-08-09 00:00:00 +01:00
HR0007A,14.643,2013-08-10 00:00:00 +01:00
HR0007A,22.699,2013-08-11 00:00:00 +01:00
HR0007A,11.295,2013-08-13 00:00:00 +01:00
HR0007A,14.162,2013-08-14 00:00:00 +01:00
HR0007A,24.101,2013-08-15 00:00:00 +01:00
HR0007A,34.69,2013-08-16 00:00:00 +01:00
HR0007A,47.035,2013-08-17 00:00:00 +01:00
HR0007A,22.281,2013-08-18 00:00:00 +01:00
HR0007A,8.679,2013-08-19 00:00:00 +01:00
HR0007A,14.413,2013-08-20 00:00:00 +01:00
HR0007A,19.874,2013-08-21 00:00:00 +01:00
HR0007A,24.792,2013-08-22 00:00:00 +01:00
HR0007A,16.966,2013-08-23 00:00:00 +01:00
HR0007A,17.447,2013-08-25 00:00:00 +01:00
HR0007A,18.221,2013-08-26 00:00:00 +01:00
HR0007A,9.265,2013-08-27 00:00:00 +01:00
HR0007A,20.188,2013-08-28 00:00:00 +01:00
HR0007A,28.056,2013-08-29 00:00:00 +01:00
HR0007A,28.14,2013-08-30 00:00:00 +01:00
HR0007A,13.427,2013-08-31 00:00:00 +01:00
HR0007A,14.688,2013-09-01 00:00:00 +01:00
HR0007A,14.46,2013-09-02 00:00:00 +01:00
HR0007A,18.881,2013-09-03 00:00:00 +01:00
HR0007A,22.178,2013-09-04 00:00:00 +01:00
HR0007A,26.781,2013-09-05 00:00:00 +01:00
HR0007A,26.842,2013-09-06 00:00:00 +01:00
HR0007A,26.264,2013-09-07 00:00:00 +01:00
HR0007A,13.958,2013-09-08 00:00:00 +01:00
HR0007A,16.192,2013-09-09 00:00:00 +01:00
HR0007A,16.116,2013-09-11 00:00:00 +01:00
HR0007A,12.713,2013-09-12 00:00:00 +01:00
HR0007A,15.523,2013-09-13 00:00:00 +01:00
HR0007A,15.66,2013-09-14 00:00:00 +01:00
HR0007A,16.344,2013-09-15 00:00:00 +01:00
HR0007A,7.259,2013-09-16 00:00:00 +01:00
HR0007A,14.779,2013-09-17 00:00:00 +01:00
HR0007A,13.518,2013-09-18 00:00:00 +01:00
HR0007A,18.197,2013-09-19 00:00:00 +01:00
HR0007A,14.551,2013-09-20 00:00:00 +01:00
HR0007A,15.068,2013-09-21 00:00:00 +01:00
HR0007A,20.279,2013-09-22 00:00:00 +01:00
HR0007A,28.057,2013-09-23 00:00:00 +01:00
HR0007A,19.534,2013-09-24 00:00:00 +01:00
HR0007A,16.875,2013-09-25 00:00:00 +01:00
HR0007A,21.266,2013-09-26 00:00:00 +01:00
HR0007A,12.561,2013-09-29 00:00:00 +01:00
HR0007A,21.114,2013-09-30 00:00:00 +01:00
HR0007A,21.828,2013-10-01 00:00:00 +01:00
HR0007A,23.013,2013-10-02 00:00:00 +01:00
HR0007A,28.893,2013-10-03 00:00:00 +01:00
HR0007A,40.576,2013-10-04 00:00:00 +01:00
HR0007A,42.004,2013-10-05 00:00:00 +01:00
HR0007A,48.537,2013-10-06 00:00:00 +01:00
HR0007A,61.177,2013-10-07 00:00:00 +01:00
HR0007A,59.263,2013-10-08 00:00:00 +01:00
HR0007A,15.432,2013-10-10 00:00:00 +01:00
HR0007A,16.739,2013-10-11 00:00:00 +01:00
HR0007A,27.298,2013-10-12 00:00:00 +01:00
HR0007A,29.47,2013-10-13 00:00:00 +01:00
HR0007A,19.58,2013-10-14 00:00:00 +01:00
HR0007A,41.411,2013-10-16 00:00:00 +01:00
HR0007A,29.728,2013-10-17 00:00:00 +01:00
HR0007A,26.067,2013-10-18 00:00:00 +01:00
HR0007A,13.594,2013-10-19 00:00:00 +01:00
HR0007A,12.91,2013-10-20 00:00:00 +01:00
HR0007A,14.08,2013-10-21 00:00:00 +01:00
HR0007A,31.491,2013-10-22 00:00:00 +01:00
HR0007A,40.591,2013-10-23 00:00:00 +01:00
HR0007A,22.345,2013-10-24 00:00:00 +01:00
HR0007A,13.837,2013-10-25 00:00:00 +01:00
HR0007A,17.27,2013-10-26 00:00:00 +01:00
HR0007A,19.458,2013-10-27 00:00:00 +01:00
HR0007A,16.511,2013-10-28 00:00:00 +01:00
HR0007A,11.026,2013-10-29 00:00:00 +01:00
HR0007A,30.215,2013-10-30 00:00:00 +01:00
HR0007A,36.064,2013-10-31 00:00:00 +01:00
HR0007A,24.289,2013-11-01 00:00:00 +01:00
HR0007A,23.423,2013-11-03 00:00:00 +01:00
HR0007A,16.374,2013-11-04 00:00:00 +01:00
HR0007A,39.923,2013-11-05 00:00:00 +01:00
HR0007A,67.224,2013-11-06 00:00:00 +01:00
HR0007A,72.511,2013-11-07 00:00:00 +01:00
HR0007A,9.644,2013-11-09 00:00:00 +01:00
HR0007A,11.801,2013-11-10 00:00:00 +01:00
HR0007A,49.509,2013-11-11 00:00:00 +01:00
HR0007A,21.57,2013-11-12 00:00:00 +01:00
HR0007A,31.764,2013-11-13 00:00:00 +01:00
HR0007A,32.782,2013-11-14 00:00:00 +01:00
HR0007A,11.588,2013-11-15 00:00:00 +01:00
HR0007A,42.748,2013-11-16 00:00:00 +01:00
HR0007A,54.295,2013-11-17 00:00:00 +01:00
HR0007A,60.341,2013-11-18 00:00:00 +01:00
HR0007A,25.429,2013-11-19 00:00:00 +01:00
HR0007A,22.193,2013-11-20 00:00:00 +01:00
HR0007A,25.991,2013-11-21 00:00:00 +01:00
HR0007A,22.542,2013-11-22 00:00:00 +01:00
HR0007A,8.125,2013-11-23 00:00:00 +01:00
HR0007A,11.999,2013-11-25 00:00:00 +01:00
HR0007A,22.162,2013-11-26 00:00:00 +01:00
HR0007A,54.447,2013-11-27 00:00:00 +01:00
HR0007A,99.28,2013-11-28 00:00:00 +01:00
HR0007A,63.046,2013-11-29 00:00:00 +01:00
HR0007A,34.493,2013-11-30 00:00:00 +01:00
HR0007A,29.744,2013-12-01 00:00:00 +01:00
HR0007A,88.016,2013-12-02 00:00:00 +01:00
HR0007A,150.658,2013-12-03 00:00:00 +01:00
HR0007A,108.831,2013-12-04 00:00:00 +01:00
HR0007A,64.003,2013-12-05 00:00:00 +01:00
HR0007A,65.003,2013-12-06 00:00:00 +01:00
HR0007A,99.784,2013-12-07 00:00:00 +01:00
HR0007A,65.835,2013-12-08 00:00:00 +01:00
HR0007A,36.395,2013-12-09 00:00:00 +01:00
HR0007A,79.434,2013-12-10 00:00:00 +01:00
HR0007A,134.127,2013-12-11 00:00:00 +01:00
HR0007A,88.326,2013-12-12 00:00:00 +01:00
HR0007A,73.036,2013-12-13 00:00:00 +01:00
HR0007A,53.32,2013-12-15 00:00:00 +01:00
HR0007A,43.385,2013-12-16 00:00:00 +01:00
HR0007A,47.12,2013-12-17 00:00:00 +01:00
HR0007A,90.638,2013-12-18 00:00:00 +01:00
HR0007A,121.162,2013-12-19 00:00:00 +01:00
HR0007A,70.922,2013-12-20 00:00:00 +01:00
HR0007A,48.444,2013-12-21 00:00:00 +01:00
HR0007A,92.258,2013-12-22 00:00:00 +01:00
HR0007A,20.569,2013-12-24 00:00:00 +01:00
HR0007A,23.191,2013-12-25 00:00:00 +01:00
HR0007A,31.872,2013-12-26 00:00:00 +01:00
HR0007A,69.992,2013-12-27 00:00:00 +01:00
HR0007A,33.802,2013-12-28 00:00:00 +01:00
HR0007A,23.782,2013-12-29 00:00:00 +01:00
