Name,Latitude,Longitude
FR06001,50.359,3.508
FR04143,48.859,2.351
FR33201,45.895,6.118
FR10029,50.996,2.366
FR18089,49.436,2.084
FR14011,49.251,4.023
FR03006,43.276,5.398
FR08016,43.592,3.887
FR24035,43.689,7.242
FR03043,43.305,5.395
FR10016,50.947,1.843
FR36002,44.934,4.893
FR20062,45.758,4.854
FR36003,44.949,4.89
FR12054,43.643,1.468
FR34014,47.918,1.966
FR82006,47.247,6.015
FR04156,48.902,2.452
FR08614,43.834,4.374
FR06003,50.374,3.071
FR04002,48.93,2.295
FR23140,47.204,-1.553
FR30034,48.688,6.19
FR25037,49.441,1.083
FR24036,43.702,7.286
FR25048,49.428,1.058
FR30036,48.696,6.146
FR19012,48.386,-4.487
FR18043,49.26,2.474
FR82010,47.51,6.794
FR25036,49.442,1.094
FR14012,49.224,4.021
FR05089,49.5,0.111
FR23182,47.971,0.221
FR15043,45.162,5.736
FR31002,44.801,-0.588
FR23120,47.469,-0.556
FR34024,47.344,0.654
FR05074,49.49,0.101
FR04034,48.776,2.376
FR03080,43.95,4.805
FR33211,46.196,6.241
FR23188,47.223,-1.538
FR07034,45.776,3.096
FR19002,48.109,-1.666
FR16066,47.737,7.309
FR19032,47.742,-3.395
FR03029,43.53,5.441
FR09404,46.584,0.346
FR21001,49.192,-0.391
FR34042,48.439,1.469
FR09203,46.162,-1.211
FR12030,43.587,1.444
FR33212,46.194,6.215
FR31007,44.9,-0.515
FR26039,47.316,5.037
FR31013,43.311,-0.391
FR09019,46.33,-0.459
FR29424,45.42,4.395
FR07004,45.797,3.114
FR39007,14.61,-61.055
FR23110,47.264,-2.25
FR09103,45.647,0.167
FR35003,45.831,1.257
FR09003,46.163,-1.154
FR31016,43.48,-1.488
FR29426,45.475,4.515
FR19033,47.649,-2.764
GB0682A,51.523,-0.155
GB0608A,51.466,0.185
GB0620A,51.521,-0.213
GB0637A,51.599,-0.068
GB0660A,53.485,-2.334
GB0636A,51.544,-0.175
GB0598A,50.908,-1.396
GB0566A,51.522,-0.126
GB0926A,53.82,-1.576
GB0864A,53.549,-2.638
GB0924A,51.518,0.44
GB0733A,50.829,-1.069
GB0960A,52.512,-1.831
GB0919A,53.952,-1.076
GB1007A,51.374,0.548
GB0851A,52.512,-1.831
GB0658A,53.028,-2.175
GB1026A,52.62,-1.127
GB0584A,53.804,-1.546
GB0643A,52.289,-1.533
GB0896A,51.633,-3.947
GB0959A,51.617,-0.299
GB1013A,52.437,-1.83
GB0918A,53.968,-1.087
GB0776A,53.749,-0.341
GB1027A,53.379,-1.478
GB1005A,50.806,0.272
GB0646A,52.955,-1.146
GB0731A,53.766,-2.68
GB0962A,51.601,-2.977
GB0995A,52.614,1.302
GB0673A,55.001,-7.329
GB0613A,53.482,-2.238
GB0586A,51.453,0.071
GB0580A,51.482,-3.176
GB0928A,53.232,-1.457
GB0925A,54.895,-2.945
GB1018A,52.295,-1.543
GB0743A,51.495,-0.132
GB0956A,54.517,-1.359
GB0567A,54.6,-5.929
GB0863A,54.884,-1.407
GB0729A,57.157,-2.094
GB0860A,50.841,-0.148
GB0568A,54.978,-1.611
GB0755A,53.042,-3.003
GB0741A,50.74,-1.827
GB1019A,52.272,-0.88
GB1028A,55.866,-4.244
HU0022A,47.431,19.184
HU0025A,47.676,17.65
HU0057A,46.267,20.153
HU0024A,47.685,17.639
IE0105A,53.347,-6.267
IT1739A,45.142,10.046
IT1743A,45.581,9.274
IT1692A,45.478,9.236
IT1016A,45.47,9.198
IT1737A,45.515,10.219
IT0470A,45.104,7.695
IT2168A,45.025,7.649
IT1453A,45.372,11.842
IT1153A,45.133,10.017
IT1877A,45.042,7.626
IT0912A,45.194,9.165
IT1177A,45.561,11.54
IT1650A,45.627,9.024
IT1343A,45.462,10.912
IT1728A,42.552,12.652
IT0963A,45.499,12.262
IT1365A,42.582,12.624
IT0707A,45.69,9.644
IT0935A,40.923,14.782
IT0594A,45.541,10.224
IT1588A,45.817,8.82
IT1975A,45.038,9.669
IT1487A,41.082,14.338
IT0934A,41.133,14.782
IT0825A,41.948,12.47
IT1043A,44.062,12.553
IT1011A,42.56,12.651
IT0771A,45.804,9.084
IT1590A,45.673,12.239
IT1159A,44.5,11.328
IT1654A,43.873,11.092
IT1264A,42.466,14.213
IT0804A,44.794,10.332
IT0940A,44.691,10.665
IT1918A,44.825,11.65
IT0956A,41.858,12.569
IT1423A,42.456,14.235
IT0861A,43.773,11.272
IT1906A,41.894,12.475
IT1204A,44.42,12.226
IT0957A,41.931,12.659
IT1491A,40.854,14.272
IT2012A,41.876,12.345
IT1771A,44.651,10.911
IT1836A,41.906,12.448
IT1504A,40.684,14.77
IT1184A,41.531,12.946
IT1518A,45.438,8.621
IT0966A,46.066,13.241
IT1182A,43.089,12.442
IT0892A,44.483,11.355
IT1578A,43.893,12.919
IT1706A,44.313,8.477
IT0953A,41.933,12.507
IT1180A,43.103,12.366
IT1048A,44.219,12.049
IT2004A,43.104,12.375
IT1110A,43.739,10.402
IT1037A,46.063,11.126
IT1137A,45.657,13.772
IT1560A,43.555,10.33
IT1497A,40.863,14.254
IT2003A,41.317,16.286
IT1826A,45.849,9.396
IT1827A,43.612,13.509
IT0862A,43.787,11.288
IT1247A,45.559,8.056
IT1613A,40.488,17.264
IT1932A,40.364,18.173
IT1883A,44.315,8.486
IT1536A,44.118,9.843
IT1557A,43.52,10.322
IT0858A,44.396,8.992
LT00003,54.715,25.289
LT00041,54.895,23.986
LT00033,55.69,21.179
LU0101A,49.598,6.138
LV000L1,56.523,21.005
LV0RKR9,56.955,24.105
MT00005,35.896,14.49
NL00012,52.39,4.888
NL00701,52.45,4.817
NL00017,52.358,4.9
NL00007,52.381,4.845
NL00487,51.891,4.481
NL00014,52.36,4.809
NL00241,51.603,4.781
NL00741,51.849,5.858
NL00742,51.839,5.858
NL00404,52.078,4.289
NL00016,52.393,4.87
NL00937,53.218,6.579
NL00938,53.247,6.609
NL00488,51.894,4.487
NL00240,51.594,4.825
NL00494,51.921,4.401
NL00636,52.106,5.125
NL00418,51.915,4.48
NL00821,52.235,6.919
NL00136,50.888,5.971
NL00433,51.911,4.327
NL00643,52.102,5.128
NL00138,50.9,5.987
NO0057A,59.928,10.848
NO0011A,59.933,10.725
NO0093A,59.911,10.704
NO0076A,58.964,5.728
NO0083A,59.919,10.697
NO0060A,63.418,10.397
NO0071A,59.899,10.815
NO0101A,59.941,10.799
NO0095A,59.933,10.67
NO0059A,60.375,5.341
NO0015A,60.393,5.328
NO0102A,63.358,10.371
NO0065A,58.962,5.731
NO0068A,63.433,10.411
NO0079A,69.656,18.962
NO0089A,63.43,10.394
PL0012A,50.057,19.925
PL0567A,50.247,19.02
PL0238A,50.279,18.656
PL0550A,49.619,20.714
PL0501A,50.011,19.949
PL0510A,51.408,19.689
PL0008A,50.265,18.975
PL0100A,51.776,19.453
PL0140A,52.219,21.005
PL0498A,50.802,19.107
PL0138A,51.399,21.147
PL0503A,51.749,18.048
PL0096A,51.758,19.53
PL0499A,49.807,19.025
PL0197A,51.086,17.013
PL0489A,50.029,18.692
PL0151A,53.181,22.054
PL0283A,50.873,20.605
PL0190A,51.205,16.181
PL0538A,52.172,22.282
PL0244A,52.398,16.96
PL0143A,52.291,21.042
PL0502A,50.02,21.004
PL0594A,49.784,22.756
PL0542A,53.492,18.753
PL0493A,51.415,21.171
PL0192A,50.769,16.27
PL0136A,52.551,19.71
PL0252A,53.122,17.988
PL0398A,52.556,19.688
PL0081A,51.131,23.515
PL0495A,50.024,22.011
PL0490A,51.104,17.058
PL0141A,52.161,21.034
PL0085A,51.273,22.552
PL0091A,50.717,23.29
PL0249A,53.432,14.554
PL0115A,51.857,19.421
PL0496A,53.129,23.182
PL0213A,51.94,15.519
PL0494A,50.677,17.95
PL0071A,53.029,18.666
PL0075A,52.665,19.037
PL0148A,53.127,23.156
PL0491A,53.151,18.132
PL0248A,53.381,14.663
PL0497A,54.399,18.614
PL0500A,54.207,16.193
PL0175A,53.789,20.485
PL0052A,54.38,18.62
PL0295A,54.168,19.411
PL0492A,52.747,15.246
PT05007,37.015,-7.927
PT03071,38.769,-9.108
PT03072,38.749,-9.149
PT03083,38.664,-9.158
RO0084A,47.151,27.583
RO0074A,46.775,23.597
RO0176A,44.939,26.026
RO0099A,44.858,24.875
RO0119A,45.65,25.604
RO0194A,45.755,21.229
RO0142A,45.432,28.055
SE0058A,55.584,13.007
SE0001A,55.606,13.002
SE0067A,57.698,11.961
SE0004A,57.709,11.97
SE0087A,59.326,18.004
SE0071A,59.443,17.923
SE0070A,59.86,17.642
SE0022A,59.316,18.058
SE0084A,59.346,18.091
SE0104A,59.86,17.636
SE0083A,63.825,20.286
SI0002A,46.559,15.653
SI0058A,46.048,14.471
SI0059A,46.569,15.627
SK0047A,48.896,18.041
SK0266A,48.993,21.267
SK0267A,48.726,21.259
SK0264A,48.691,21.286
SK0134A,48.283,18.141
SK0263A,48.733,19.115
MK0047A,41.992,21.423
PL0527A,49.922,18.471
PL0624A,51.885,17.79
PL0039A,50.069,20.053
IT0840A,45.285,9.864
CZ0TVER,49.925,18.423
PL0129A,52.408,20.956
PL0509A,51.404,19.697
IT1936A,45.438,12.206
IT1130A,45.143,7.778
PL0134A,52.192,20.837
IT2117A,45.176,7.712
AL0203A,40.626,20.78
PL0144A,52.054,20.43
CZ0TOPR,49.856,18.27
PL0549A,49.969,20.44
PL0530A,50.445,18.83
IT0777A,45.698,9.406
IT2062A,45.644,9.615
XK0001A,42.386,21.081
PL0507A,51.259,22.569
IT1215A,45.075,11.783
IT1388A,45.411,10.692
IT1868A,45.161,10.796
PL0623A,50.301,21.434
PL0218A,50.35,18.237
IT1865A,44.997,11.071
IT1385A,45.874,10.177
IT1924A,44.989,10.019
IT1183A,41.49,13.831
IT1464A,45.498,9.556
IT0692A,45.102,8.906
IT1878A,45.319,8.402
IT1965A,45.303,9.495
IT1128A,45.155,7.658
PL0079A,52.029,23.149
IT2119A,44.72,7.426
PL0552A,50.159,19.477
IT2013A,41.639,13.323
IT1596A,45.837,12.51
IT1187A,43.841,10.574
CZ0TTRO,49.668,18.678
PL0413A,49.69,21.75
IT1830A,44.92,8.623
IT1876A,45.683,9.467
IT2101A,45.003,7.837
IT2068A,42.743,12.666
PL0518A,49.745,21.455
PL0194A,51.129,17.029
CZ0TSTD,49.721,18.089
IT1788A,45.451,7.878
IT1658A,40.488,18.054
IT1222A,45.63,12.592
IT1553A,43.916,11.007
IT1328A,45.891,12.308
IT1914A,44.873,10.664
PL0276A,50.53,22.112
PL0558A,54.121,17.976
IT1871A,45.227,11.666
SK0008A,49.079,19.303
PL0566A,51.051,21.084
SK0025A,48.631,20.24
IT1286A,45.305,9.486
IT2116A,45.295,8.043
IT1967A,46.169,9.88
IT1619A,46.031,11.906
GR0030A,37.943,23.648
PL0620A,53.084,21.579
PL0523A,50.454,20.716
HR0021A,45.834,15.978
IT1948A,44.808,8.31
IT1179A,44.84,11.961
IT1065A,45.761,11.737
CY0007A,34.914,33.616
PL0517A,50.972,18.208
SK0030A,48.874,21.838
IT2105A,43.457,12.246
PL0534A,52.926,14.863
IT1921A,44.928,11.178
IT0703A,46.052,11.454
AT60197,46.778,15.541
IT2134A,42.534,12.522
ES0825A,43.307,-5.69
IT1900A,42.952,12.708
PL0591A,51.643,15.128
IT0903A,44.516,10.734
IT1908A,44.096,12.402
CZ0UTPM,50.645,13.851
SK0037A,48.931,21.914
IT1606A,41.114,16.888
AT2WO15,46.835,14.844
IT0460A,43.527,13.245
IT1919A,44.742,11.942
IT0461A,43.633,13.388
RO0072A,44.627,26.126
LV0008A,56.51,27.333
IT2201A,45.963,12.656
IT0945A,43.875,11.105
IT1451A,44.662,11.639
PL0243A,50.711,19.459
PL0198A,51.15,15.008
IT2118A,44.402,7.815
PL0585A,50.913,15.766
IT1927A,44.526,11.981
IT1666A,40.404,18.03
IT2108A,44.375,8.299
IT2073A,44.539,10.791
IT2031A,39.068,17.114
IT0887A,41.996,12.726
IT2107A,44.383,8.284
IT1232A,44.382,8.281
IS0005A,64.13,-21.875
IT2111A,39.075,16.231
LV0012A,56.523,21.005
IT1576A,39.203,8.386
IT1621A,41.123,16.873
IT1665A,40.459,18.116
IT2121A,45.689,8.458
IT1186A,43.884,10.245
IT2026A,38.4,16.07
SK0022A,48.584,19.952
SK0039A,49.067,18.922
CZ0SMBO,50.429,14.914
PL0176A,53.692,19.97
FR25051,49.918,1.074
IT1953A,40.168,18.174
IT1901A,43.353,12.576
IT2019A,41.454,15.548
CZ0BZNO,48.843,16.06
BELOB01,50.917,3.307
IT0867A,42.404,12.858
IT1532A,45.713,8.284
IT2148A,40.649,17.512
GR0035A,38.07,23.777
IT1529A,44.382,7.538
IT1456A,44.113,9.833
BETN043,50.884,4.383
AT32701,48.145,16.474
FR01065,49.168,5.387
IT2112A,39.188,17.01
IT0950A,43.461,11.889
BELAL03,51.254,4.201
IT2144A,41.108,16.766
CZ0BMIS,48.792,16.724
IT0499A,46.619,10.859
BELSA04,51.314,4.404
LV0026A,56.955,24.105
IT0591A,45.892,11.039
FR33101,45.565,5.928
IT2100A,43.133,12.206
IT2110A,39.49,16.387
IT2056A,39.236,9.115
IT1611A,40.489,17.226
IT2129A,45.805,13.522
BETR750,51.196,3.823
CY0008A,34.779,32.439
IT1696A,46.434,11.339
IT1143A,44.273,8.439
FR12055,43.922,2.147
DERP023,49.629,8.365
DEBB032,52.146,14.638
IT1915A,43.933,12.628
IT0459A,43.599,13.342
FR27008,45.353,4.805
AT4S404,48.225,14.239
IT2131A,45.738,13.479
FR31040,44.509,0.143
FR20061,45.986,4.719
BETR740,51.15,3.809
DEHE063,49.643,8.642
FR31041,43.896,-0.491
BELHB23,51.17,4.341
IT2066A,43.358,12.557
IT1660A,40.494,17.233
ES1440A,42.21,-8.737
BELOB02,50.915,3.376
DEBB099,52.482,13.848
AT30407,48.234,16.637
AT60107,47.045,15.153
PT02004,40.712,-8.57
FR08252,44.054,4.697
AT30104,48.178,14.549
IT1911A,44.658,10.289
FR24033,44.555,6.073
BETN052,50.815,3.322
IT0952A,41.889,12.266
FR06006,50.364,3.523
BETR702,51.041,3.735
FR14028,49.046,3.956
AT10001,47.84,16.528
NL00551,52.463,4.602
DENW002,51.641,7.331
IT0992A,41.67,13.674
IT1594A,46.141,12.217
PL0505A,51.318,15.432
AT31902,48.331,15.904
